股票代码,股票简称
688981,中芯国际
688599,天合光能
688561,奇安信
688396,华润微
688363,华熙生物
688303,大全能源
688223,晶科能源
688187,时代电气
688126,沪硅产业
688111,金山办公
688065,凯赛生物
688036,传音控股
688012,中微公司
688008,澜起科技
688005,容百科技
605499,东鹏饮料
605117,德业股份
603993,洛阳钼业
603986,兆易创新
603899,晨光股份
603833,欧派家居
603806,福斯特
603799,华友钴业
603659,璞泰来
603501,韦尔股份
603486,科沃斯
603392,万泰生物
603369,今世缘
603290,斯达半导
603288,海天味业
603260,合盛硅业
603259,药明康德
603195,公牛集团
603185,弘元绿能
603019,中科曙光
601998,中信银行
601995,中金公司
601989,中国重工
601988,中国银行
601985,中国核电
601939,建设银行
601919,中远海控
601901,方正证券
601899,紫金矿业
601898,中煤能源
601888,中国中免
601881,中国银河
601878,浙商证券
601877,正泰电器
601872,招商轮船
601868,中国能建
601865,福莱特
601857,中国石油
601838,成都银行
601818,光大银行
601816,京沪高铁
601808,中海油服
601800,中国交建
601799,星宇股份
601788,光大证券
601766,中国中车
601728,中国电信
601699,潞安环能
601698,中国卫通
601689,拓普集团
601688,华泰证券
601669,中国电建
601668,中国建筑
601658,邮储银行
601633,长城汽车
601628,中国人寿
601618,中国中冶
601615,明阳智能
601607,上海医药
601601,中国太保
601600,中国铝业
601398,工商银行
601390,中国中铁
601377,兴业证券
601360,三六零
601336,新华保险
601328,交通银行
601319,中国人保
601318,中国平安
601288,农业银行
601238,广汽集团
601236,红塔证券
601229,上海银行
601225,陕西煤业
601216,君正集团
601211,国泰君安
601186,中国铁建
601169,北京银行
601166,兴业银行
601155,新城控股
601138,工业富联
601117,中国化学
601111,中国国航
601100,恒立液压
601088,中国神华
601066,中信建投
601021,春秋航空
601012,隆基绿能
601009,南京银行
601006,大秦铁路
600999,招商证券
600989,宝丰能源
600958,东方证券
600941,中国移动
600926,杭州银行
600919,江苏银行
600918,中泰证券
600905,三峡能源
600900,长江电力
600893,航发动力
600887,伊利股份
600886,国投电力
600884,杉杉股份
600875,东方电气
600845,宝信软件
600837,海通证券
600809,山西汾酒
600803,新奥股份
600795,国电电力
600763,通策医疗
600760,中航沈飞
600754,锦江酒店
600745,闻泰科技
600741,华域汽车
600732,爱旭股份
600690,海尔智家
600674,川投能源
600660,福耀玻璃
600606,绿地控股
600600,青岛啤酒
600588,用友网络
600585,海螺水泥
600584,长电科技
600570,恒生电子
600547,山东黄金
600519,贵州茅台
600460,士兰微
600438,通威股份
600436,片仔癀
600426,华鲁恒升
600406,国电南瑞
600383,金地集团
600362,江西铜业
600346,恒力石化
600332,白云山
600309,万华化学
600276,恒瑞医药
600233,圆通速递
600219,南山铝业
600196,复星医药
600188,兖矿能源
600183,生益科技
600176,中国巨石
600150,中国船舶
600132,重庆啤酒
600115,中国东航
600111,北方稀土
600104,上汽集团
600089,特变电工
600085,同仁堂
600061,国投资本
600050,中国联通
600048,保利发展
600039,四川路桥
600036,招商银行
600031,三一重工
600030,中信证券
600029,南方航空
600028,中国石化
600025,华能水电
600019,宝钢股份
600018,上港集团
600016,民生银行
600015,华夏银行
600011,华能国际
600010,包钢股份
600009,上海机场
600000,浦发银行
300999,金龙鱼
300979,华利集团
300957,贝泰妮
300919,中伟股份
300896,爱美客
300782,卓胜微
300769,德方纳米
300763,锦浪科技
300760,迈瑞医疗
300759,康龙化成
300751,迈为股份
300750,宁德时代
300661,圣邦股份
300628,亿联网络
300601,康泰生物
300498,温氏股份
300496,中科创达
300454,深信服
300450,先导智能
300433,蓝思科技
300413,芒果超媒
300408,三环集团
300347,泰格医药
300316,晶盛机电
300274,阳光电源
300223,北京君正
300207,欣旺达
300142,沃森生物
300124,汇川技术
300122,智飞生物
300059,东方财富
300033,同花顺
300015,爱尔眼科
300014,亿纬锂能
003816,中国广核
002938,鹏鼎控股
002920,德赛西威
002916,深南电路
002841,视源股份
002821,凯莱英
002812,恩捷股份
002756,永兴材料
002736,国信证券
002714,牧原股份
002709,天赐材料
002648,卫星化学
002601,龙佰集团
002594,比亚迪
002555,三七互娱
002493,荣盛石化
002475,立讯精密
002466,天齐锂业
002460,赣锋锂业
002459,晶澳科技
002415,海康威视
002414,高德红外
002410,广联达
002371,北方华创
002352,顺丰控股
002311,海大集团
002304,洋河股份
002271,东方雨虹
002252,上海莱士
002241,歌尔股份
002236,大华股份
002230,科大讯飞
002202,金风科技
002180,纳思达
002179,中航光电
002142,宁波银行
002129,TCL中环
002120,韵达股份
002074,国轩高科
002064,华峰化学
002050,三花智控
002049,紫光国微
002027,分众传媒
002007,华兰生物
002001,新和成
001979,招商蛇口
001289,龙源电力
000983,山西焦煤
000977,浪潮信息
000963,华东医药
000938,紫光股份
000895,双汇发展
000877,天山股份
000876,新希望
000858,五粮液
000800,一汽解放
000792,盐湖股份
000786,北新建材
000776,广发证券
000768,中航西飞
000733,振华科技
000725,京东方A
000723,美锦能源
000708,中信特钢
000661,长春高新
000651,格力电器
000625,长安汽车
000617,中油资本
000596,古井贡酒
000568,泸州老窖
000538,云南白药
000528,柳工
000425,徐工机械
000408,藏格矿业
000338,潍柴动力
000333,美的集团
000301,东方盛虹
000166,申万宏源
000157,中联重科
000100,TCL科技
000069,华侨城A
000063,中兴通讯
000002,万科A
000001,平安银行
